,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,renew_offer_type,sales_channel,vehicle_class,vehicle_size,policy_level
0,Washington,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate,Offer1,Agent,Two-Door Car,Medsize,3
1,Arizona,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal,Offer3,Agent,Four-Door Car,Medsize,3
2,Nevada,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal,Offer1,Agent,Two-Door Car,Medsize,3
3,California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Corporate,Offer1,Call Center,SUV,Medsize,2
4,Washington,No,Basic,Bachelor,Employed,M,Rural,Single,Personal,Offer1,Agent,Four-Door Car,Medsize,1
5,Oregon,Yes,Basic,Bachelor,Employed,F,Rural,Married,Personal,Offer2,Web,Two-Door Car,Medsize,3
6,Oregon,Yes,Basic,College,Employed,F,Suburban,Married,Corporate,Offer1,Agent,Four-Door Car,Medsize,3
7,Arizona,No,Premium,Master,Unemployed,M,Urban,Single,Corporate,Offer1,Agent,Four-Door Car,Medsize,3
8,Oregon,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Corporate,Offer1,Agent,Four-Door Car,Medsize,3
9,Oregon,No,Extended,College,Employed,F,Urban,Married,Special,Offer2,Branch,Four-Door Car,Medsize,2
10,California,No,Basic,College,Unemployed,M,Suburban,Single,Personal,Offer1,Agent,Four-Door Car,Small,3
11,California,No,Basic,College,Unemployed,F,Suburban,Married,Personal,Offer2,Agent,SUV,Medsize,3
12,California,No,Premium,Master,Employed,M,Urban,Married,Corporate,Offer2,Agent,Four-Door Car,Medsize,1
13,Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Corporate,Offer2,Branch,SUV,Medsize,3
14,California,No,Basic,College,Employed,M,Urban,Single,Corporate,Offer4,Call Center,Four-Door Car,Medsize,3
15,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate,Offer2,Branch,Four-Door Car,Medsize,2
16,Nevada,No,Basic,High School or Below,Medical Leave,M,Suburban,Married,Personal,Offer2,Call Center,Two-Door Car,Medsize,3
17,California,No,Basic,College,Medical Leave,M,Suburban,Married,Personal,Offer3,Call Center,SUV,Medsize,2
18,Oregon,No,Basic,College,Employed,M,Urban,Married,Personal,Offer2,Branch,Four-Door Car,Medsize,2
19,California,No,Premium,High School or Below,Employed,F,Suburban,Married,Corporate,Offer1,Call Center,Four-Door Car,Small,2
20,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal,Offer1,Branch,Two-Door Car,Medsize,2
21,Washington,No,Extended,Bachelor,Disabled,F,Suburban,Divorced,Personal,Offer4,Call Center,Four-Door Car,Medsize,3
22,Arizona,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Personal,Offer1,Agent,Four-Door Car,Medsize,3
23,Nevada,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Corporate,Offer1,Branch,Four-Door Car,Medsize,3
24,California,No,Basic,Bachelor,Disabled,F,Suburban,Married,Corporate,Offer2,Branch,Four-Door Car,Medsize,2
25,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal,Offer2,Call Center,Four-Door Car,Large,3
26,California,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Personal,Offer1,Agent,Four-Door Car,Small,3
27,Washington,No,Extended,Master,Disabled,F,Urban,Married,Corporate,Offer1,Branch,SUV,Medsize,1
28,Arizona,No,Premium,College,Employed,F,Suburban,Single,Personal,Offer1,Call Center,Four-Door Car,Large,3
29,Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal,Offer2,Branch,Four-Door Car,Small,3
30,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal,Offer4,Call Center,Four-Door Car,Small,2
31,Nevada,No,Extended,High School or Below,Employed,M,Urban,Married,Corporate,Offer2,Agent,Luxury SUV,Medsize,2
32,California,No,Basic,Bachelor,Unemployed,M,Urban,Married,Personal,Offer1,Call Center,Four-Door Car,Medsize,3
33,Washington,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate,Offer1,Agent,Two-Door Car,Small,2
34,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate,Offer3,Web,Four-Door Car,Medsize,1
35,Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal,Offer1,Branch,Four-Door Car,Medsize,1
36,California,No,Premium,Bachelor,Employed,M,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Small,3
37,Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal,Offer2,Web,Four-Door Car,Small,3
38,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal,Offer3,Agent,Two-Door Car,Small,2
39,Arizona,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal,Offer1,Call Center,Four-Door Car,Medsize,3
40,Nevada,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Corporate,Offer3,Call Center,Two-Door Car,Medsize,3
41,Oregon,Yes,Basic,College,Employed,F,Rural,Single,Corporate,Offer2,Agent,Two-Door Car,Medsize,3
42,California,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Personal,Offer2,Agent,Four-Door Car,Small,2
43,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Offer4,Agent,Sports Car,Medsize,2
44,Washington,No,Basic,College,Employed,M,Suburban,Married,Special,Offer2,Call Center,Four-Door Car,Large,2
45,Oregon,No,Premium,Doctor,Disabled,F,Rural,Married,Personal,Offer1,Branch,SUV,Medsize,2
46,Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal,Offer3,Call Center,Four-Door Car,Medsize,3
47,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal,Offer4,Agent,Two-Door Car,Medsize,2
48,California,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Corporate,Offer2,Call Center,Four-Door Car,Medsize,2
49,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal,Offer4,Branch,Four-Door Car,Medsize,2
50,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal,Offer1,Agent,SUV,Small,2
51,California,Yes,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate,Offer1,Web,SUV,Medsize,1
52,Nevada,No,Basic,High School or Below,Employed,F,Rural,Married,Special,Offer4,Branch,Four-Door Car,Medsize,1
53,Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal,Offer4,Agent,Four-Door Car,Medsize,3
54,California,No,Premium,Bachelor,Disabled,M,Suburban,Married,Personal,Offer1,Branch,Four-Door Car,Small,2
55,Arizona,No,Extended,College,Employed,F,Suburban,Divorced,Corporate,Offer3,Call Center,Four-Door Car,Small,3
56,California,No,Basic,College,Employed,M,Urban,Married,Special,Offer2,Branch,Four-Door Car,Medsize,2
57,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal,Offer1,Call Center,SUV,Small,2
58,Oregon,No,Extended,High School or Below,Disabled,F,Suburban,Divorced,Personal,Offer1,Call Center,SUV,Medsize,3
59,Oregon,No,Premium,Master,Disabled,F,Suburban,Divorced,Personal,Offer1,Agent,Four-Door Car,Medsize,1
60,Arizona,Yes,Basic,Bachelor,Retired,M,Suburban,Divorced,Personal,Offer1,Agent,Four-Door Car,Medsize,1
61,California,No,Premium,Bachelor,Medical Leave,F,Suburban,Married,Personal,Offer1,Call Center,Two-Door Car,Small,3
62,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal,Offer1,Agent,Two-Door Car,Small,3
63,California,No,Basic,High School or Below,Employed,F,Rural,Married,Personal,Offer1,Agent,SUV,Medsize,3
64,Arizona,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal,Offer3,Branch,Four-Door Car,Large,3
65,Washington,No,Basic,College,Employed,M,Suburban,Married,Personal,Offer3,Web,Four-Door Car,Medsize,3
66,Oregon,No,Basic,College,Employed,F,Suburban,Divorced,Corporate,Offer1,Agent,SUV,Medsize,3
67,Arizona,No,Extended,High School or Below,Employed,F,Urban,Married,Personal,Offer4,Branch,Two-Door Car,Small,3
68,Oregon,Yes,Extended,Bachelor,Unemployed,F,Suburban,Divorced,Personal,Offer1,Call Center,Two-Door Car,Large,3
69,California,No,Premium,College,Disabled,F,Suburban,Married,Personal,Offer3,Web,Four-Door Car,Medsize,3
70,Oregon,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal,Offer4,Agent,SUV,Medsize,3
71,Oregon,No,Basic,Master,Employed,M,Rural,Married,Personal,Offer2,Web,Two-Door Car,Large,2
72,Oregon,No,Basic,Master,Medical Leave,M,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,1
73,Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal,Offer1,Agent,Sports Car,Medsize,3
74,Oregon,Yes,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal,Offer2,Branch,Two-Door Car,Medsize,3
75,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal,Offer2,Branch,Four-Door Car,Small,3
76,Oregon,No,Basic,High School or Below,Employed,F,Rural,Single,Personal,Offer2,Call Center,Four-Door Car,Medsize,1
77,Nevada,No,Basic,College,Employed,M,Suburban,Married,Personal,Offer2,Agent,Four-Door Car,Medsize,1
78,Washington,No,Extended,College,Employed,M,Rural,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,3
79,California,No,Basic,Bachelor,Employed,M,Rural,Single,Personal,Offer2,Branch,Luxury Car,Small,3
80,California,No,Extended,College,Unemployed,F,Rural,Single,Personal,Offer3,Branch,Two-Door Car,Large,3
81,California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal,Offer2,Call Center,Four-Door Car,Medsize,3
82,California,No,Basic,Doctor,Employed,M,Suburban,Married,Personal,Offer3,Branch,SUV,Medsize,1
83,Nevada,No,Basic,Master,Employed,M,Suburban,Married,Personal,Offer2,Call Center,Four-Door Car,Large,3
84,Oregon,No,Extended,College,Disabled,F,Suburban,Single,Personal,Offer2,Agent,Four-Door Car,Small,3
85,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Offer1,Call Center,Four-Door Car,Medsize,2
86,California,Yes,Extended,College,Retired,M,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,1
87,California,No,Basic,Bachelor,Employed,F,Urban,Married,Corporate,Offer3,Web,Four-Door Car,Medsize,2
88,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal,Offer3,Branch,Four-Door Car,Medsize,2
89,California,Yes,Extended,College,Employed,M,Suburban,Married,Personal,Offer1,Branch,Four-Door Car,Medsize,3
90,Oregon,No,Premium,College,Medical Leave,M,Suburban,Married,Personal,Offer2,Branch,Two-Door Car,Small,3
91,Washington,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Corporate,Offer2,Call Center,Two-Door Car,Medsize,3
92,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate,Offer1,Agent,Four-Door Car,Medsize,3
93,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate,Offer1,Branch,Two-Door Car,Small,1
94,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal,Offer1,Agent,Four-Door Car,Medsize,2
95,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal,Offer1,Branch,Four-Door Car,Large,3
96,Arizona,No,Basic,Master,Medical Leave,F,Rural,Married,Personal,Offer1,Branch,SUV,Medsize,3
97,California,No,Basic,Bachelor,Medical Leave,M,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,2
98,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal,Offer3,Web,Four-Door Car,Medsize,1
99,Oregon,No,Extended,College,Employed,M,Suburban,Married,Personal,Offer1,Agent,Two-Door Car,Small,2
100,California,Yes,Basic,College,Unemployed,F,Suburban,Married,Personal,Offer1,Agent,SUV,Medsize,3
101,California,Yes,Basic,College,Unemployed,M,Suburban,Single,Personal,Offer1,Branch,Four-Door Car,Medsize,1
102,Oregon,No,Basic,Bachelor,Employed,M,Rural,Single,Corporate,Offer3,Call Center,Two-Door Car,Medsize,3
103,California,Yes,Premium,College,Employed,M,Suburban,Married,Personal,Offer2,Branch,Four-Door Car,Medsize,3
104,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal,Offer1,Web,SUV,Medsize,3
105,Oregon,No,Extended,Bachelor,Employed,F,Rural,Married,Personal,Offer1,Call Center,Four-Door Car,Small,3
106,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal,Offer3,Branch,Four-Door Car,Medsize,1
107,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal,Offer1,Agent,SUV,Medsize,1
108,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal,Offer1,Agent,Two-Door Car,Medsize,3
109,Oregon,No,Basic,College,Employed,M,Urban,Married,Corporate,Offer4,Agent,Four-Door Car,Medsize,1
110,California,No,Extended,College,Employed,M,Suburban,Married,Personal,Offer4,Agent,Four-Door Car,Small,3
111,Washington,No,Extended,High School or Below,Employed,M,Suburban,Divorced,Corporate,Offer2,Web,Four-Door Car,Small,2
112,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal,Offer2,Branch,SUV,Medsize,3
113,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal,Offer1,Agent,Four-Door Car,Medsize,3
114,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Offer4,Branch,Four-Door Car,Medsize,2
115,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate,Offer1,Agent,SUV,Medsize,2
116,Oregon,Yes,Extended,High School or Below,Retired,M,Suburban,Divorced,Personal,Offer2,Agent,SUV,Medsize,3
117,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal,Offer2,Branch,Two-Door Car,Medsize,3
118,California,No,Basic,Bachelor,Employed,F,Suburban,Single,Personal,Offer3,Agent,Two-Door Car,Medsize,2
119,California,No,Extended,College,Employed,F,Urban,Married,Corporate,Offer2,Call Center,Four-Door Car,Medsize,2
120,Washington,No,Extended,College,Unemployed,M,Suburban,Married,Personal,Offer3,Web,Two-Door Car,Medsize,2
121,California,No,Basic,Bachelor,Employed,M,Rural,Married,Personal,Offer1,Call Center,Sports Car,Medsize,3
122,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal,Offer3,Branch,Two-Door Car,Small,3
123,California,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal,Offer3,Web,Luxury SUV,Medsize,3
124,Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,3
125,Oregon,No,Premium,College,Employed,M,Suburban,Divorced,Personal,Offer1,Call Center,Four-Door Car,Medsize,2
126,Oregon,No,Extended,Master,Employed,F,Rural,Single,Personal,Offer2,Branch,Four-Door Car,Medsize,3
127,Arizona,No,Extended,College,Employed,M,Urban,Married,Special,Offer1,Branch,Four-Door Car,Medsize,2
128,Oregon,Yes,Basic,College,Retired,M,Suburban,Divorced,Personal,Offer2,Web,Four-Door Car,Medsize,2
129,Washington,No,Basic,Master,Unemployed,F,Rural,Married,Personal,Offer2,Agent,Four-Door Car,Medsize,1
130,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Offer1,Agent,Sports Car,Medsize,3
131,Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Special,Offer1,Branch,Four-Door Car,Medsize,2
132,Oregon,No,Basic,Bachelor,Employed,F,Urban,Married,Personal,Offer1,Call Center,Four-Door Car,Medsize,3
